epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
0,0.0001717513892016008,0.00017135639557491232,2.2008945188210784e-06,0.00016810204720418918,0.00017839146597652683,50,0.00016923207258538,0.00017416582810322862,3.112534877869376e-07,16.0,16.0,16,16
100,0.00017231344853988297,0.00017219842142464505,1.630273365448619e-06,0.00016923251367581752,0.00017754399040095057,50,0.00017055313529382442,0.0001740086812907893,2.3055547037930662e-07,16.0,16.0,16,16
200,0.00017354677606933378,0.00017354413888919236,1.3318329465137773e-06,0.00016994051515775913,0.00017735633901809378,50,0.00017199294788142704,0.00017488002349798156,1.8834962157751047e-07,16.0,16.0,16,16
300,0.00017417071843857715,0.00017425219428723185,1.0229087690657233e-06,0.00017083478113235243,0.00017643757737663925,50,0.00017294117006573677,0.00017534726394649664,1.4466114542831142e-07,16.0,16.0,16,16
400,0.00017443362654836523,0.00017455803560150913,9.339310643238363e-07,0.00017129298592190472,0.00017629279339559536,50,0.0001733709393448319,0.00017546465281892263,1.3207779774883086e-07,16.0,16.0,16,16
500,0.00017469368020359724,0.0001747339808495864,9.010185292501856e-07,0.00017171146251991487,0.00017636171111394652,50,0.00017375723659431502,0.00017573778627327617,1.2742326240150716e-07,16.0,16.0,16,16
600,0.00017507602727998746,0.00017498411362652983,1.0546142955720345e-06,0.00017213497102331105,0.00017741445633660615,50,0.0001738055491653763,0.00017649872924072475,1.491449839870519e-07,16.0,16.0,16,16
700,0.0001756056833134887,0.00017554294474902293,1.381533066232425e-06,0.00017252321419338533,0.00017890520812101555,50,0.00017378402890879166,0.00017748167471941617,1.9537827991327825e-07,16.0,16.0,16,16
800,0.00017625938102284845,0.00017624642939247017,1.7456393540604768e-06,0.00017288028688247766,0.0001800776649114486,50,0.00017413503632123344,0.00017851752022268836,2.4687068495245354e-07,16.0,16.0,16,16
900,0.00017697144218694076,0.00017713985558194653,2.0545642727058056e-06,0.00017259677740406353,0.0001810997856257528,50,0.00017461514835098268,0.00017969387874541747,2.9055926592277644e-07,16.0,16.0,16,16
1000,0.00017766749358605794,0.0001781132903463296,2.2676297316025276e-06,0.00017240271775008115,0.00018176863726229064,50,0.0001751503716283375,0.00018030728260591455,3.206912720872756e-07,16.0,16.0,16,16
1100,0.00017831116457803082,0.00017907049708610704,2.3863535066462377e-06,0.00017234567387097372,0.00018225723292241447,50,0.00017537005226146523,0.00018091405352429978,3.374813493715703e-07,16.0,16.0,16,16
1200,0.00017889755632445554,0.00017973064295948553,2.4276617232585575e-06,0.00017242743922828176,0.00018265465737467637,50,0.0001758292623707126,0.00018140248798155872,3.4332321338862913e-07,16.0,16.0,16,16
1300,0.00017943337248714158,0.00018029499046468274,2.4049987115599594e-06,0.00017264525584647532,0.00018299099487744235,50,0.00017628290917574352,0.00018180403766967292,3.401181795377914e-07,16.0,16.0,16,16
1400,0.00017992962908933003,0.00018092662267386956,2.325935881663346e-06,0.0001729908798932489,0.00018327491890291365,50,0.00017673757743600526,0.00018215362049823157,3.289370069058526e-07,16.0,16.0,16,16
1500,0.00018039696676609536,0.00018132420727148303,2.195651359644986e-06,0.00017344895879761914,0.00018351010321324154,50,0.00017720453829050083,0.00018238415404533924,3.1051199310528654e-07,16.0,16.0,16,16
1600,0.00018083880609887903,0.00018166325456902882,2.0331374013795183e-06,0.00017399618132622445,0.00018370002817281387,50,0.0001780478267565647,0.00018266975248479414,2.8752904871989057e-07,16.0,16.0,16,16
1700,0.00018124685207600953,0.00018187519248777373,1.87217144705257e-06,0.00017460244875636903,0.00018384894177150672,50,0.00017872182280328515,0.00018297927073919858,2.647650251509407e-07,16.0,16.0,16,16
1800,0.00018161180057408465,0.00018214645151441483,1.7282293539109065e-06,0.00017523447936423672,0.0001839617044204728,50,0.00017925622468650275,0.00018327077536132443,2.4440853911920956e-07,16.0,16.0,16,16
1900,0.00018193481330589612,0.00018246022993105324,1.5956784365934388e-06,0.0001758609166862452,0.00018404333756728706,50,0.0001797956115128004,0.0001835185314879375,2.256630086216738e-07,16.0,16.0,16,16
2000,0.00018222277780723152,0.00018263321417661793,1.4700238411890227e-06,0.00017645705384318328,0.00018409857919167682,50,0.00018034126074875504,0.0001837183868684265,2.0789276532213085e-07,16.0,16.0,16,16
2100,0.00018247936020896808,0.0001827873990976356,1.3569774037630562e-06,0.00017700743628800626,0.00018415616391634826,50,0.00018076201399751384,0.00018376214207497046,1.9190558482355454e-07,16.0,16.0,16,16
2200,0.00018270169427150244,0.0001830992840160701,1.2628631208689798e-06,0.00017750575112822665,0.00018424610867055,50,0.0001812133837286677,0.0001839189998995982,1.7859581529537244e-07,16.0,16.0,16,16
2300,0.00018288612507677367,0.00018316879832036093,1.1825072678822006e-06,0.00017795269536501293,0.00018430724902899332,50,0.00018148239444737364,0.00018406412646351122,1.6723178158437626e-07,16.0,16.0,16,16
2400,0.000183033290206518,0.00018325187033224236,1.1110433274158834e-06,0.00017835311708886873,0.0001843898889649411,50,0.00018166018505715614,0.00018419955854806253,1.5712525420156734e-07,16.0,16.0,16,16
2500,0.00018314627746723568,0.00018325694350236157,1.0506052238332527e-06,0.00017871350930864603,0.00018447724933599784,50,0.000181928691749872,0.00018424954312208777,1.485780156245007e-07,16.0,16.0,16,16
2600,0.00018322862067334674,0.00018331653370652384,1.0049393433021934e-06,0.00017904034475105953,0.00018457489434316426,50,0.0001821474609834598,0.00018426964023327949,1.4211988486602735e-07,16.0,16.0,16,16
2700,0.0001832839927717269,0.00018332329960214352,9.765085916159128e-07,0.00017933923944067205,0.00018467897883017267,50,0.0001823436393692876,0.00018437437693679494,1.380991694037074e-07,16.0,16.0,16,16
2800,0.0001833160448139328,0.00018333728332163904,9.663300346229005e-07,0.00017961470146466894,0.00018475289810320432,50,0.0001824293166139914,0.00018443548898089768,1.3665970406921683e-07,16.0,16.0,16,16
2900,0.00018332822294488466,0.00018330562523636223,9.740850657345045e-07,0.00017987020195560694,0.00018480248645119047,50,0.00018256695416247874,0.00018445706824093334,1.377564310866824e-07,16.0,16.0,16,16
3000,0.0001833237436414407,0.0001833234097097647,9.979001595084038e-07,0.00018000132315632852,0.0001848323656051048,50,0.00018240064560330803,0.0001845457562131985,1.4112439394710596e-07,16.0,16.0,16,16
3100,0.00018330569558094355,0.0001833136537621792,1.0340884946537902e-06,0.00017966481149378225,0.000184846164275243,50,0.00018233237201147165,0.00018461723942313446,1.4624219738333677e-07,16.0,16.0,16,16
3200,0.00018327714890704053,0.0001833762012030033,1.0774518657386998e-06,0.00017935504186017428,0.00018487238536378118,50,0.00018232504192106541,0.0001846269872771489,1.5237470413318643e-07,16.0,16.0,16,16
3300,0.0001832411524125713,0.00018335460946270382,1.1223486558939393e-06,0.00017909308347171854,0.0001848925997463219,50,0.0001822455340594881,0.0001846210649770909,1.5872406908764229e-07,16.0,16.0,16,16
3400,0.00018320059964588723,0.00018326870047952955,1.1640666629099389e-06,0.00017889325982389564,0.00018491761967937172,50,0.00018206755709337567,0.00018460862762069842,1.6462388621936254e-07,16.0,16.0,16,16
3500,0.00018315810264251883,0.00018332414786584157,1.1997085438614095e-06,0.00017876156159851633,0.00018500142294700222,50,0.00018187916658092142,0.00018453439182338331,1.6966440936236824e-07,16.0,16.0,16,16
3600,0.0001831156616777297,0.00018340143070176684,1.2279600179492495e-06,0.00017869777720718117,0.00018507738907500696,50,0.00018170589530774065,0.00018455051930743634,1.7365977114357378e-07,16.0,16.0,16,16
3700,0.00018307628650204622,0.00018338070124996984,1.2485582121567202e-06,0.00017869958834259455,0.00018514352828365003,50,0.00018151258632707253,0.00018456724101723973,1.7657279570443379e-07,16.0,16.0,16,16
3800,0.00018304146573289658,0.00018327651869953348,1.26052734619593e-06,0.0001787670847997549,0.0001851983893366402,50,0.0001815558889972367,0.00018458339302802404,1.78265486873245e-07,16.0,16.0,16,16
3900,0.0001830134183093396,0.0001832027302086244,1.2624485135602938e-06,0.00017890796202453378,0.00018524125484100013,50,0.00018154223484545483,0.0001845882169939301,1.7853718096747216e-07,16.0,16.0,16,16
4000,0.00018299363710642277,0.000183171550210363,1.2521275014086624e-06,0.0001791460158666189,0.00018527214603753552,50,0.00018146238449426397,0.00018457634794706866,1.770775694312467e-07,16.0,16.0,16,16
4100,0.0001829835611119492,0.0001830712007170471,1.226817265409637e-06,0.0001795400861544441,0.00018529167500666642,50,0.00018142679883664586,0.00018452496885685844,1.7349816152957817e-07,16.0,16.0,16,16
4200,0.00018298637765092746,0.00018308336997935765,1.1834484136100991e-06,0.00018023213350652512,0.00018530081803256167,50,0.00018144137605277964,0.0001844305239405907,1.6736487968963263e-07,16.0,16.0,16,16
4300,0.00018300837616122272,0.0001830062635064372,1.1258006915796144e-06,0.00018109936570860166,0.0001853006854358641,50,0.00018153072254635928,0.00018443403906183168,1.5921226065609004e-07,16.0,16.0,16,16
4400,0.00018306167465347945,0.0001830035361890979,1.1108382868860407e-06,0.00018123142045014498,0.00018529233765237634,50,0.00018158605773900945,0.00018448795107366389,1.5709625709175336e-07,16.0,16.0,16,16
4500,0.00018314601381512631,0.0001830186145441935,1.276292385360689e-06,0.00018138070603186955,0.00018750824427575988,50,0.0001814958279107492,0.0001845795540956207,1.804950000930595e-07,16.0,16.0,16,16
4600,0.00018324132001536274,0.00018312704120322665,1.5549550579205557e-06,0.00018110868763105217,0.0001905307516915698,50,0.00018154358507837902,0.00018462768014638727,2.1990385317918914e-07,16.0,16.0,16,16
4700,0.0001833515777817717,0.00018311182434847795,1.8338179144281708e-06,0.0001808135664826374,0.00019274714049979258,50,0.00018170975003120452,0.00018502313880461494,2.593410165507063e-07,16.0,16.0,16,16
4800,0.00018348832077435547,0.00018311596424997433,2.107949787086136e-06,0.00018055197522560412,0.0001942999728655953,50,0.00018177094297932133,0.00018522019230036917,2.981091177698692e-07,16.0,16.0,16,16
4900,0.0001836459527150878,0.00018319621819342104,2.3736283979156143e-06,0.00018033044086057505,0.0001954360765836887,50,0.00018157144078444394,0.00018521889891962796,3.356817472366183e-07,16.0,16.0,16,16
