epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
0,0.00017175138920160952,0.00017135639557491232,2.200894518825879e-06,0.00016810204720418918,0.00017839146597652683,50,0.00016923207258538,0.00017416582810320685,3.112534877876165e-07,16.0,16.0,16,16
100,0.00017231344853990902,0.00017219842142464505,1.6302733654543594e-06,0.00016923251367581752,0.00017754399040095057,50,0.00017055313529382442,0.0001740086812907893,2.3055547038011842e-07,16.0,16.0,16,16
200,0.00017354677606934245,0.00017354413888919236,1.3318329465070978e-06,0.0001699405151575421,0.00017735633901809378,50,0.00017199294788123172,0.00017488002349798156,1.8834962157656584e-07,16.0,16.0,16,16
300,0.0001741707184385902,0.00017425219428723185,1.0229087690541006e-06,0.00017083478113256946,0.00017643757737663925,50,0.00017294117006573677,0.0001753472639466919,1.446611454266677e-07,16.0,16.0,16,16
400,0.0001744336265483739,0.00017455803560150913,9.339310643181346e-07,0.00017129298592190472,0.00017629279339559536,50,0.0001733709393448319,0.00017546465281892263,1.3207779774802451e-07,16.0,16.0,16,16
500,0.00017469368020361025,0.0001747339808495864,9.010185292510361e-07,0.00017171146251991487,0.00017636171111394652,50,0.00017375723659431502,0.0001757377862732545,1.2742326240162746e-07,16.0,16.0,16,16
600,0.00017507602727998746,0.00017498411362652983,1.0546142955713183e-06,0.00017213497102331105,0.00017741445633660615,50,0.0001738055491653763,0.00017649872924072475,1.4914498398695063e-07,16.0,16.0,16,16
700,0.0001756056833134887,0.00017554294474891446,1.381533066217431e-06,0.00017252321419338533,0.00017890520812101555,50,0.00017378402890881335,0.00017748167471919924,1.9537827991115779e-07,16.0,16.0,16,16
800,0.00017625938102283544,0.0001762464293923617,1.7456393540458583e-06,0.00017288028688247766,0.0001800776649114486,50,0.00017413503632103823,0.00017851752022249312,2.4687068495038614e-07,16.0,16.0,16,16
900,0.00017697144218692775,0.00017713985558183806,2.054564272729241e-06,0.00017259677740406353,0.0001810997856257528,50,0.000174615148350961,0.00017969387874563445,2.9055926592609067e-07,16.0,16.0,16,16
1000,0.0001777360124732781,0.00017780305379398183,2.234145678785741e-06,0.00017260610260878562,0.0001823357803638064,50,0.00017511198730158184,0.0001802714739549951,3.159559119256039e-07,20.0,20.0,20,20
1100,0.0001793443413506891,0.00017958576574187823,2.0285079265359604e-06,0.00017393829736331735,0.00018336730851048683,50,0.00017669310926458684,0.0001815557138518608,2.8687434210884813e-07,20.0,20.0,20,20
1200,0.00018055066377494855,0.00018072459017836554,1.5679259554677196e-06,0.00017658160103559652,0.00018393490700476545,50,0.00017842975717999605,0.00018236791117205037,2.2173821510192425e-07,20.0,20.0,20,20
1300,0.00018158969448032097,0.00018171528475439144,1.3384698091000054e-06,0.00017766394374116187,0.00018426771549616232,50,0.0001799428677604586,0.0001830640923304217,1.892882156856155e-07,20.0,20.0,20,20
1400,0.00018251551832675167,0.0001827366634754532,1.3495531502443839e-06,0.000178263471816739,0.0001849111231456782,50,0.00018078801937001154,0.00018410163096731504,1.9085563682189428e-07,20.0,20.0,20,20
1500,0.00018316823516890932,0.0001833838910388519,1.5146679125438986e-06,0.0001787831091786093,0.00018633935873259275,50,0.00018145944963741655,0.00018474599860247612,2.1420639044109264e-07,20.0,20.0,20,20
