epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
0,0.00017175138920161388,0.00017135639557491232,2.2008945188240485e-06,0.00016810204720418918,0.00017839146597652683,50,0.0001692320725854017,0.00017416582810320685,3.1125348778735766e-07,16.0,16.0,16,16
100,0.00017231344853990035,0.00017219842142475363,1.6302733654467897e-06,0.00016923251367581752,0.00017754399040095057,50,0.00017055313529382442,0.0001740086812907893,2.305554703790479e-07,16.0,16.0,16,16
200,0.00017354677606932944,0.00017354413888919236,1.331832946500038e-06,0.00016994051515775916,0.0001773563390178768,50,0.00017199294788140535,0.00017488002349798156,1.8834962157556745e-07,16.0,16.0,16,16
300,0.00017417071843857715,0.00017425219428723185,1.0229087690629141e-06,0.00017083478113235243,0.00017643757737663925,50,0.00017294117006573677,0.00017534726394649664,1.4466114542791413e-07,16.0,16.0,16,16
400,0.00017443362654836523,0.00017455803560150913,9.339310643158699e-07,0.00017129298592190472,0.00017629279339559536,50,0.0001733709393448319,0.00017546465281872742,1.3207779774770426e-07,16.0,16.0,16,16
500,0.0001746936802036059,0.0001747339808495864,9.010185292554528e-07,0.00017171146251991487,0.00017636171111394652,50,0.00017375723659431502,0.00017573778627327617,1.2742326240225207e-07,16.0,16.0,16,16
600,0.0001750760272799788,0.0001749841136266383,1.0546142955555116e-06,0.00017213497102331105,0.00017741445633660615,50,0.0001738055491653763,0.00017649872924072475,1.491449839847152e-07,16.0,16.0,16,16
700,0.00017560568331348003,0.00017554294474880604,1.3815330662259318e-06,0.00017252321419338533,0.00017890520812101555,50,0.00017378402890881335,0.00017748167471922093,1.9537827991236e-07,16.0,16.0,16,16
800,0.0001762593810228528,0.00017624642939257864,1.745639354065729e-06,0.00017288028688247766,0.0001800776649114486,50,0.00017413503632119005,0.00017851752022249312,2.4687068495319633e-07,16.0,16.0,16,16
900,0.00017697144218693642,0.00017713985558194653,2.0545642727295073e-06,0.00017259677740406353,0.0001810997856259697,50,0.000174615148350961,0.00017969387874541747,2.9055926592612836e-07,16.0,16.0,16,16
1000,0.00017773601247328676,0.00017780305379398183,2.2341456787718073e-06,0.00017260610260878562,0.0001823357803638064,50,0.00017511198730160355,0.0001802714739549951,3.159559119236334e-07,20.0,20.0,20,20
1100,0.00017934434135070645,0.00017958576574187823,2.0285079265406237e-06,0.00017393829736331735,0.0001833673085107038,50,0.00017669310926478207,0.0001815557138518608,2.868743421095076e-07,20.0,20.0,20,20
1200,0.00018055066377493985,0.00018072459017836554,1.5679259554766145e-06,0.00017658160103559652,0.00018393490700476545,50,0.00017842975717999605,0.00018236791117205037,2.2173821510318217e-07,20.0,20.0,20,20
1300,0.0001815896944803123,0.00018171528475428297,1.3384698091088567e-06,0.00017766394374116187,0.00018426771549616232,50,0.00017994286776026335,0.0001830640923304,1.8928821568686726e-07,20.0,20.0,20,20
1400,0.0001825155183267386,0.0001827366634754532,1.349553150250665e-06,0.000178263471816739,0.0001849111231456782,50,0.00018078801937001154,0.00018410163096729332,1.9085563682278258e-07,20.0,20.0,20,20
