epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
0,0.00017175138920159645,0.00017135639557480368,2.200894518819193e-06,0.00016810204720418918,0.00017839146597652683,50,0.00016923207258535828,0.00017416582810320685,3.112534877866709e-07,16.0,16.0,16,16
100,0.00017231344853990035,0.00017219842142464505,1.6302733654558017e-06,0.00016923251367581752,0.00017754399040095057,50,0.00017055313529382442,0.0001740086812907893,2.305554703803224e-07,16.0,16.0,16,16
200,0.00017354677606933378,0.00017354413888919236,1.331832946532754e-06,0.0001699405151575421,0.00017735633901809378,50,0.00017199294788121004,0.00017488002349798156,1.883496215801942e-07,16.0,16.0,16,16
300,0.00017417071843859453,0.00017425219428723185,1.0229087690685685e-06,0.00017083478113235243,0.00017643757737663925,50,0.00017294117006573677,0.0001753472639466919,1.4466114542871379e-07,16.0,16.0,16,16
400,0.00017443362654836957,0.00017455803560150913,9.339310643287196e-07,0.00017129298592190472,0.00017629279339559536,50,0.00017337093934481022,0.00017546465281892263,1.3207779774952146e-07,16.0,16.0,16,16
500,0.00017469368020359724,0.0001747339808495864,9.010185292390141e-07,0.00017171146251991487,0.00017636171111394652,50,0.00017375723659431502,0.0001757377862732545,1.2742326239992728e-07,16.0,16.0,16,16
600,0.00017507602727998312,0.00017498411362652983,1.0546142955656663e-06,0.00017213497102331105,0.00017741445633660615,50,0.0001738055491653763,0.00017649872924072475,1.491449839861513e-07,16.0,16.0,16,16
700,0.00017560568331348436,0.00017554294474891446,1.3815330662342824e-06,0.00017252321419338533,0.00017890520812101555,50,0.00017378402890879166,0.00017748167471922093,1.9537827991354097e-07,16.0,16.0,16,16
800,0.00017625938102283544,0.0001762464293923617,1.7456393540805087e-06,0.00017288028688226072,0.0001800776649114486,50,0.00017413503632103823,0.00017851752022249312,2.468706849552865e-07,16.0,16.0,16,16
900,0.00017697144218693642,0.00017713985558183806,2.054564272699466e-06,0.00017259677740406353,0.0001810997856259697,50,0.00017461514835098268,0.00017969387874541747,2.905592659218799e-07,16.0,16.0,16,16
1000,0.00017773601247331712,0.00017780305379398183,2.2341456787912523e-06,0.00017260610260878562,0.0001823357803638064,50,0.00017511198730158184,0.0001802714739550168,3.1595591192638333e-07,20.0,20.0,20,20
