epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
0,0.0001717513892016138,0.00017135639557491232,2.200894518819693e-06,0.00016810204720418918,0.00017839146597652683,50,0.00016923207258538,0.00017416582810322862,3.112534877867417e-07,16.0,16.0,16,16
100,0.00017231344853988297,0.00017219842142464505,1.6302733654599617e-06,0.00016923251367581752,0.00017754399040095057,50,0.00017055313529382442,0.0001740086812907893,2.305554703809107e-07,16.0,16.0,16,16
200,0.00017354677606932944,0.00017354413888919236,1.3318329465150657e-06,0.00016994051515775916,0.00017735633901809378,50,0.00017199294788121004,0.00017488002349798156,1.8834962157769266e-07,16.0,16.0,16,16
300,0.00017417071843858585,0.00017425219428723185,1.0229087690590326e-06,0.00017083478113235243,0.00017643757737663925,50,0.00017294117006573677,0.00017534726394649664,1.446611454273652e-07,16.0,16.0,16,16
400,0.0001744336265483609,0.00017455803560150913,9.339310643096867e-07,0.00017129298592190472,0.00017629279339559536,50,0.0001733709393448319,0.00017546465281892263,1.320777977468298e-07,16.0,16.0,16,16
500,0.00017469368020360158,0.0001747339808495864,9.010185292431112e-07,0.00017171146251991487,0.00017636171111394652,50,0.00017375723659431502,0.0001757377862732545,1.274232624005067e-07,16.0,16.0,16,16
600,0.0001750760272799788,0.00017498411362652983,1.0546142955860364e-06,0.00017213497102331105,0.00017741445633660615,50,0.0001738055491653763,0.00017649872924072475,1.4914498398903206e-07,16.0,16.0,16,16
700,0.00017560568331349304,0.00017554294474902293,1.3815330662080016e-06,0.00017252321419338533,0.00017890520812101555,50,0.00017378402890881335,0.00017748167471919924,1.953782799098243e-07,16.0,16.0,16,16
800,0.00017625938102283978,0.00017624642939247017,1.745639354062582e-06,0.00017288028688226072,0.0001800776649114486,50,0.00017413503632103823,0.00017851752022249312,2.4687068495275127e-07,16.0,16.0,16,16
900,0.0001769714421869321,0.00017713985558183806,2.05456427272631e-06,0.00017259677740406353,0.0001810997856257528,50,0.000174615148350961,0.00017969387874561276,2.905592659256762e-07,16.0,16.0,16,16
1000,0.00017773601247329543,0.00017780305379398183,2.2341456787938357e-06,0.00017260610260878562,0.0001823357803638064,50,0.00017511198730158184,0.0001802714739550168,3.1595591192674867e-07,20.0,20.0,20,20
1100,0.00017934434135069343,0.00017958576574187823,2.0285079265455285e-06,0.00017393829736331735,0.00018336730851048683,50,0.00017669310926458684,0.0001815557138518608,2.868743421102012e-07,20.0,20.0,20,20
1200,0.0001805506637749225,0.00018072459017836554,1.5679259554555884e-06,0.00017658160103559652,0.00018393490700476545,50,0.00017842975717999605,0.0001823679111718551,2.2173821510020864e-07,20.0,20.0,20,20
1300,0.00018158969448028192,0.00018171528475428297,1.338469809100572e-06,0.00017766394374116187,0.00018426771549616232,50,0.00017994286776026335,0.00018306409233020477,1.8928821568569565e-07,20.0,20.0,20,20
1400,0.00018251551832672126,0.0001827366634754532,1.3495531502452902e-06,0.000178263471816739,0.0001849111231456782,50,0.00018078801937001154,0.00018410163096729332,1.9085563682202245e-07,20.0,20.0,20,20
1500,0.0001831682351689267,0.00018338389103874343,1.5146679125546649e-06,0.0001787831091786093,0.00018633935873259275,50,0.00018145944963741655,0.00018474599860247612,2.142063904426152e-07,20.0,20.0,20,20
1600,0.00018353688824559973,0.00018370764315117237,1.5928838419543994e-06,0.00017930897010628487,0.00018731598047428018,50,0.00018179799230724672,0.00018513992984789653,2.2526779325768732e-07,20.0,20.0,20,20
1700,0.00018376060190481935,0.00018392597675737855,1.589244038666758e-06,0.0001796138336888642,0.00018758717379141506,50,0.0001816236392396666,0.00018531030667386493,2.2475304734031204e-07,20.0,20.0,20,20
1800,0.0001839274969820067,0.000184134362106826,1.5678109852580157e-06,0.00018004281305486553,0.00018764569227362616,50,0.00018217687732999534,0.00018541908924227357,2.2172195585894104e-07,20.0,20.0,20,20
1900,0.0001840734495886101,0.00018433529376594838,1.5424090769428783e-06,0.00018036750703635479,0.00018761782918239492,50,0.00018237326147837177,0.00018551353880295798,2.181295835339985e-07,20.0,20.0,20,20
2000,0.00018285386611455737,0.00018270722307208397,1.3187989634907907e-06,0.00018012788708362832,0.00018571840061133962,50,0.00018143834403466037,0.00018473902528761896,1.8650633802122564e-07,24.0,24.0,24,24
2100,0.00018291105309544483,0.00018273493206758727,1.3491492644931097e-06,0.0001801694689117963,0.00018568712506483772,50,0.00018142989188570007,0.00018484973263378958,1.9079851875118417e-07,24.0,24.0,24,24
2200,0.00018301985274533027,0.00018287105848571706,1.3464004281999961e-06,0.00018018961071137162,0.00018561224800793804,50,0.00018146531666387013,0.00018500738936299603,1.9040977459453772e-07,24.0,24.0,24,24
2300,0.00018312150046973037,0.00018302892600487725,1.3282357093591942e-06,0.00018021472910956086,0.00018566839478720951,50,0.00018160110793005393,0.00018503113744894984,1.8784089542040208e-07,24.0,24.0,24,24
2400,0.00018319973061878131,0.00018308436030719301,1.3047696712556186e-06,0.00018025942971418394,0.00018572343568268375,50,0.0001816737159645761,0.000185076939507725,1.8452229648627805e-07,24.0,24.0,24,24
2500,0.00018326300629733665,0.0001831084232736368,1.2880851891128582e-06,0.00018035976270342822,0.00018596050409063288,50,0.00018180200501488668,0.00018504264121322665,1.821627543935317e-07,24.0,24.0,24,24
2600,0.00018332534247459637,0.0001831658104169505,1.2786378277089535e-06,0.0001806195671614078,0.00018629491655801174,50,0.00018195211164625188,0.00018509667923869108,1.8082669573092748e-07,24.0,24.0,24,24
2700,0.00018338895331486627,0.00018321673899315006,1.3107243117706416e-06,0.00018024999014378606,0.00018683797803998721,50,0.00018201400593375287,0.00018524594339836668,1.8536440982381823e-07,24.0,24.0,24,24
2800,0.00018345505127251934,0.0001832609705502094,1.4255959669479115e-06,0.000179905087363372,0.00018762194050786623,50,0.00018205635967320362,0.00018523490053651346,2.016097150922123e-07,24.0,24.0,24,24
2900,0.0001835005880232069,0.0001833268355204749,1.5391817846014286e-06,0.00017964543170059143,0.00018856208011841838,50,0.0001819843540739979,0.00018518416084042973,2.176731754740964e-07,24.0,24.0,24,24
3000,0.00018375987382417553,0.00018377969233421846,1.333464660642465e-06,0.00018040382052614983,0.00018738804507354562,50,0.00018215944464313412,0.00018502291814761568,1.8858038080258104e-07,28.0,28.0,28,28
3100,0.00018387876560307305,0.00018388350416160716,1.353417696073717e-06,0.00018036102249628573,0.00018729955502509127,50,0.00018216581577460463,0.00018522110114652847,1.914021661343198e-07,28.0,28.0,28,28
3200,0.00018394236920111478,0.00018396517490562968,1.3834409225904903e-06,0.0001802808463960359,0.00018731380487830733,50,0.00018217006897458952,0.0001853754995543953,1.9564809154694185e-07,28.0,28.0,28,28
3300,0.00018396580852956843,0.0001839280935228809,1.4243859731397815e-06,0.00018023784909242086,0.00018720978209843628,50,0.00018223986917698402,0.00018547940649788503,2.014385961268278e-07,28.0,28.0,28,28
3400,0.00018397655501473445,0.0001838248516898551,1.4818656422193473e-06,0.00018023957570531042,0.0001870307077381726,50,0.0001821966141641177,0.00018558714940891693,2.0956744888413174e-07,28.0,28.0,28,28
3500,0.000183992648022005,0.00018383709466292424,1.556767122216552e-06,0.00018028190394711718,0.0001874089694430192,50,0.000182181541654734,0.00018597663019360132,2.2016011776951814e-07,28.0,28.0,28,28
3600,0.00018402978003823783,0.00018394458344230316,1.6456443967001285e-06,0.00018036754866353552,0.0001880811098277485,50,0.00018213807714262541,0.00018631442237989504,2.3272926246566114e-07,28.0,28.0,28,28
3700,0.00018408404228546833,0.00018410042416534974,1.7325008956872583e-06,0.00018050881994847716,0.00018875955482519708,50,0.00018179934501885657,0.0001862268586841028,2.4501262635044553e-07,28.0,28.0,28,28
3800,0.00018414253751260142,0.00018412822085854937,1.8143802304854609e-06,0.00018072768209634785,0.00018926618746426902,50,0.0001817770116472241,0.00018617070284788486,2.565921129254161e-07,28.0,28.0,28,28
3900,0.00018420526159213275,0.00018407149759376565,1.8802484535262352e-06,0.00018093975785537315,0.00018933759666127682,50,0.00018185542325587344,0.0001865253797946963,2.65907286360784e-07,28.0,28.0,28,28
4000,0.0001836702722361665,0.00018369162870756156,1.572072327123304e-06,0.00018051169526478764,0.0001880552060234223,50,0.00018170120460659928,0.00018536876584254099,2.2232460060492092e-07,32.0,32.0,32,32
4100,0.00018377012430397638,0.00018373721550610646,1.6115006568449488e-06,0.0001801506065374346,0.00018828974123474664,50,0.00018186073171079482,0.00018544488796443082,2.2790060846832775e-07,32.0,32.0,32,32
4200,0.00018379045865266996,0.0001836753307543372,1.6339331514816179e-06,0.000180175401829568,0.00018847763600122731,50,0.00018191125708603027,0.0001853339866826226,2.3107304228363167e-07,32.0,32.0,32,32
4300,0.0001837716285947809,0.00018362289462951344,1.652974955698124e-06,0.00018020972486230123,0.00018865571668195996,50,0.00018193321891001098,0.000185536709583143,2.3376596006113528e-07,32.0,32.0,32,32
4400,0.00018374180983893803,0.0001836875503874369,1.6726766909380261e-06,0.00018024321296403295,0.00018880243729267019,50,0.00018192007527315077,0.0001856791562022208,2.3655220617899063e-07,32.0,32.0,32,32
4500,0.00018370829030190573,0.0001835759143027135,1.6908626943689794e-06,0.0001802279136469071,0.0001888982131105574,50,0.0001818678970730082,0.00018572973486656624,2.391240954487324e-07,32.0,32.0,32,32
4600,0.000183678626413962,0.00018359709317903336,1.70312810854158e-06,0.00018015392767224976,0.00018892780597112185,50,0.00018183633916612842,0.00018566074422191997,2.408586869558339e-07,32.0,32.0,32,32
4700,0.00018366254177450605,0.00018347923101773365,1.708808043489496e-06,0.00018014132641984377,0.0001888808760903205,50,0.00018183507134955158,0.00018545812853250137,2.4166195105950787e-07,32.0,32.0,32,32
4800,0.00018365831055535396,0.00018358815937452371,1.7115248205941748e-06,0.000180123118204211,0.00018875041454363616,50,0.00018191174548283864,0.00018551830237381798,2.4204616136224605e-07,32.0,32.0,32,32
4900,0.00018364939429716824,0.00018374279455339674,1.7105988399832908e-06,0.000180122924583545,0.00018853153504964774,50,0.00018173681862324894,0.0001855164393442383,2.4191520792840535e-07,32.0,32.0,32,32
5000,0.00018456524029977311,0.0001845272190186733,1.6150803327523122e-06,0.00018155368795263357,0.00018859760964653533,50,0.00018226026874357097,0.0001867353464458281,2.2840685109003712e-07,35.28,35.0,34,36
5100,0.0001851094656309395,0.00018503206942133287,1.7265488521374617e-06,0.0001817848073585724,0.000189317223757357,50,0.0001829874989766966,0.00018721779559418308,2.441708802792498e-07,35.28,35.0,34,36
5200,0.0001851687105249418,0.00018510481328493913,1.7238426093721698e-06,0.00018176605949353733,0.00018921956034621915,50,0.00018301641429806036,0.00018728968274837318,2.437881597570748e-07,35.28,35.0,34,36
5300,0.00018518439245203774,0.00018517902798123522,1.7201577290730449e-06,0.00018176107159550707,0.00018899402220510017,50,0.00018311931679390584,0.0001871314582464879,2.432670389876004e-07,35.28,35.0,34,36
5400,0.00018518259406378443,0.00018521893308932397,1.711375356131703e-06,0.000181769136619998,0.00018874960422717352,50,0.00018313284829812813,0.00018726826541901206,2.42025023895254e-07,35.28,35.0,34,36
5500,0.00018517666964037573,0.00018516728843737064,1.699559561325115e-06,0.00018178538492664544,0.00018873063807810163,50,0.00018317402469010814,0.00018744950715931675,2.403540181686845e-07,35.28,35.0,34,36
5600,0.0001851744221500827,0.00018531855231036575,1.6884985715996561e-06,0.00018180888510353372,0.0001887098247121929,50,0.00018307327969526756,0.0001874554408662855,2.3878975800038323e-07,35.28,35.0,34,36
5700,0.00018518032876670056,0.00018535958057666054,1.6849320249796805e-06,0.00018175636606032597,0.0001886977429394371,50,0.00018293007739351674,0.00018720906875166905,2.3828537214030266e-07,35.28,35.0,34,36
5800,0.00018519566274504982,0.00018540058271044165,1.6883643930009676e-06,0.00018171390975792968,0.00018868987778269063,50,0.00018286600372135827,0.00018704280860877909,2.3877078228097866e-07,35.28,35.0,34,36
5900,0.00018520956943730263,0.00018537092845881853,1.6935756041942911e-06,0.00018174482974199707,0.00018867741274916983,50,0.00018282948233878861,0.000187325181775438,2.3950775883557754e-07,35.28,35.0,34,36
6000,0.00018421185150795032,0.00018426125395062378,1.884662832133908e-06,0.00017923046470188,0.00018873208333510056,50,0.00018207134469044265,0.0001864026045396176,2.6653157377042605e-07,37.36,37.0,35,40
6100,0.00018416230261766062,0.0001842006282504779,2.1122979275191574e-06,0.00017912779203703883,0.0001894190210574603,50,0.00018185223675474334,0.00018655646064238388,2.987240376870173e-07,37.36,37.0,35,40
6200,0.00018420716039323651,0.00018433214642034552,2.1153012616292617e-06,0.0001792629289623961,0.00018947802011577637,50,0.0001818852359997013,0.00018659697565349967,2.9914877327010205e-07,37.36,37.0,35,40
6300,0.00018425029103860135,0.0001844348960088391,2.1066745479375217e-06,0.00017933932881237298,0.00018947571524833415,50,0.00018189969010766325,0.00018654328800009543,2.979287717199452e-07,37.36,37.0,35,40
6400,0.000184291980499244,0.00018439215528928324,2.0986175298759486e-06,0.00017936763850003707,0.00018946527869158925,50,0.00018184426011895048,0.0001865159807704697,2.96789337298449e-07,37.36,37.0,35,40
6500,0.00018433323841497525,0.00018434120005952193,2.091678668905763e-06,0.00017936894313979056,0.00018944711676056273,50,0.0001818140306392305,0.00018665187466868462,2.9580803416930327e-07,37.36,37.0,35,40
6600,0.00018437514332250281,0.0001842909609250782,2.085143485124451e-06,0.0001793569876701395,0.00018941872435177017,50,0.00018179884599658883,0.00018674486138520687,2.9488381961569e-07,37.36,37.0,35,40
6700,0.0001844181900419009,0.00018429732267935962,2.0789210973331604e-06,0.00017934027051701564,0.00018937995923580918,50,0.00018180693926187603,0.00018678893685527477,2.9400384109521124e-07,37.36,37.0,35,40
6800,0.00018446143678382053,0.00018435409571639013,2.074551724358524e-06,0.00017932444991245806,0.00018933378867599989,50,0.00018197543096224432,0.00018689200983473171,2.933859184432315e-07,37.36,37.0,35,40
