epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
0,0.00017175138920159645,0.00017135639557480368,2.200894518813311e-06,0.00016810204720418918,0.00017839146597652683,50,0.00016923207258538,0.00017416582810322862,3.1125348778583914e-07,16.0,16.0,16,16
100,0.00017231344853987863,0.00017219842142464505,1.6302733654536733e-06,0.00016923251367581752,0.00017754399040095057,50,0.00017055313529382442,0.0001740086812907893,2.3055547038002138e-07,16.0,16.0,16,16
200,0.0001735467760693468,0.00017354413888919236,1.3318329465161151e-06,0.00016994051515775913,0.00017735633901809378,50,0.00017199294788140535,0.00017488002349798156,1.883496215778411e-07,16.0,16.0,16,16
300,0.0001741707184385815,0.0001742521942871234,1.0229087690551585e-06,0.00017083478113235243,0.00017643757737663925,50,0.00017294117006573677,0.0001753472639466919,1.4466114542681733e-07,16.0,16.0,16,16
400,0.00017443362654835656,0.00017455803560150913,9.339310643220412e-07,0.00017129298592190472,0.00017629279339559536,50,0.00017337093934481022,0.00017546465281892263,1.32077797748577e-07,16.0,16.0,16,16
500,0.0001746936802036059,0.0001747339808495864,9.010185292611627e-07,0.00017171146251991487,0.00017636171111394652,50,0.00017375723659431502,0.00017573778627327617,1.2742326240305956e-07,16.0,16.0,16,16
600,0.0001750760272799788,0.00017498411362652983,1.0546142955727538e-06,0.00017213497102331105,0.00017741445633660615,50,0.0001738055491653763,0.00017649872924072475,1.4914498398715363e-07,16.0,16.0,16,16
700,0.00017560568331348436,0.00017554294474902293,1.3815330662375454e-06,0.00017252321419338533,0.00017890520812101555,50,0.00017378402890879166,0.00017748167471922093,1.9537827991400241e-07,16.0,16.0,16,16
800,0.00017625938102282677,0.00017624642939247017,1.7456393540689706e-06,0.00017288028688247766,0.0001800776649114486,50,0.00017413503632101655,0.00017851752022249312,2.4687068495365473e-07,16.0,16.0,16,16
900,0.0001769714421869321,0.00017713985558183806,2.05456427272462e-06,0.00017259677740406353,0.0001810997856259697,50,0.000174615148350961,0.00017969387874543918,2.905592659254372e-07,16.0,16.0,16,16
1000,0.00017766749358605794,0.00017811329034643806,2.2676297316010428e-06,0.00017240271775008115,0.00018176863726229064,50,0.00017515037162853272,0.00018030728260591455,3.206912720870656e-07,16.0,16.0,16,16
1100,0.00017831116457802648,0.00017907049708610704,2.3863535066644536e-06,0.00017234567387097372,0.00018225723292241447,50,0.00017537005226144354,0.00018091405352429978,3.374813493741464e-07,16.0,16.0,16,16
1200,0.00017889755632445118,0.00017973064295948553,2.4276617232225433e-06,0.00017242743922828176,0.00018265465737445945,50,0.0001758292623707126,0.00018140248798136346,3.43323213383536e-07,16.0,16.0,16,16
1300,0.00017943337248713725,0.00018029499046479124,2.4049987115586775e-06,0.00017264525584647532,0.00018299099487744235,50,0.00017628290917574352,0.00018180403766967292,3.401181795376101e-07,16.0,16.0,16,16
1400,0.0001799296290893257,0.0001809266226737611,2.325935881644576e-06,0.00017299087989346582,0.00018327491890291365,50,0.00017673757743602694,0.0001821536204982099,3.2893700690319814e-07,16.0,16.0,16,16
1500,0.0001803969667661127,0.00018132420727148303,2.1956513596460204e-06,0.00017344895879761914,0.0001835101032134585,50,0.00017720453829069604,0.00018238415404533924,3.105119931054328e-07,16.0,16.0,16,16
1600,0.00018083880609887903,0.00018166325456902882,2.033137401412676e-06,0.00017399618132622445,0.00018370002817281387,50,0.0001780478267565647,0.00018266975248498944,2.8752904872457975e-07,16.0,16.0,16,16
1700,0.00018124685207601386,0.00018187519248777373,1.8721714470378303e-06,0.00017460244875636903,0.00018384894177150672,50,0.00017872182280330686,0.00018297927073919858,2.647650251488562e-07,16.0,16.0,16,16
1800,0.0001816118005740673,0.00018214645151441483,1.7282293538990934e-06,0.00017523447936423672,0.0001839617044204728,50,0.00017925622468650275,0.00018327077536112917,2.444085391175389e-07,16.0,16.0,16,16
1900,0.0001819348133059048,0.00018246022993116171,1.5956784365965695e-06,0.0001758609166862452,0.00018404333756728706,50,0.0001797956115128004,0.0001835185314879375,2.2566300862211653e-07,16.0,16.0,16,16
