path,filename,kind,interface_layers,boundary_layers,reset,trial,file_size_bytes
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL0-BL3-TRIAL7.json,pinn-history-2d-alloy-neumann-reduced-IL0-BL3-TRIAL7.json,reduced,0,3,False,7,31447974
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL0-BL3-TRIAL8.json,pinn-history-2d-alloy-neumann-reduced-IL0-BL3-TRIAL8.json,reduced,0,3,False,8,31447551
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL0-BL3-TRIAL9.json,pinn-history-2d-alloy-neumann-reduced-IL0-BL3-TRIAL9.json,reduced,0,3,False,9,31445096
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL1.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL1.json,reduced,1,1,True,1,31440831
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL10.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL10.json,reduced,1,1,True,10,31400751
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL2.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL2.json,reduced,1,1,True,2,31146846
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL3.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL3.json,reduced,1,1,True,3,31354867
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL4.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL4.json,reduced,1,1,True,4,31407512
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL5.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL5.json,reduced,1,1,True,5,31393277
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL6.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL6.json,reduced,1,1,True,6,31356748
