interface_layers,boundary_layers,reset,found_trials,failed_trials,energy_outlier_trials,excluded_trials,raw_failure_rate,accepted_trials,acceptance_fraction,median_displacement_error,q90_displacement_error,median_detF_error,q90_detF_error,median_true_energy_error,q90_true_energy_error,median_quadrature_error,median_final_rep_atoms,q90_final_rep_atoms,median_rep_atoms_spawned
0,1,False,10,0,4,4,0.0,6,0.6,0.7095454247669037,0.8264357790447162,0.007283438769145126,0.009441467458051168,0.001235813387110343,0.0021038802990097946,0.007795699112717441,72.0,72.0,56.0
0,1,True,10,0,7,7,0.0,3,0.3,0.4925822172098812,0.6871356187719021,0.015621584417953272,0.016853609202162088,0.013228900614107721,0.013925130609144937,0.01482235163130288,72.0,72.0,56.0
0,2,False,10,0,7,7,0.0,3,0.3,0.4338890923917424,2.5138300869090475,0.004777466610755407,0.06911677658786841,0.0005295059714335492,0.027322745189736146,0.007318497275326941,72.0,72.0,56.0
0,2,True,10,0,8,8,0.0,2,0.2,0.27241104787893416,0.301817708044339,0.006351187197052824,0.006950427285946161,0.00218785006279735,0.0025983901814490445,0.007802807485743695,72.0,72.0,56.0
0,3,False,10,0,3,3,0.0,7,0.7,0.12193021669116058,0.15367559586025706,0.0016417940267592554,0.0018431317834043423,6.016693308377347e-05,7.185058108642045e-05,0.006379618055183058,72.0,72.0,56.0
0,3,True,10,0,9,9,0.0,1,0.1,0.7616437973430407,0.7616437973430407,0.02106196157327903,0.02106196157327903,0.019512700673561013,0.019512700673561013,0.01789839564237828,72.0,72.0,56.0
1,1,False,10,0,1,1,0.0,9,0.9,0.21920634581895018,0.2551868392774188,0.0026152583852117666,0.003093795706769986,0.00015830446731146687,0.0002095103960320362,0.00039764638762328843,72.0,72.0,56.0
1,1,True,10,0,3,3,0.0,7,0.7,0.389363375194163,0.574179408231753,0.007626257939660681,0.011530445131604884,0.002343540896250701,0.009534074946709922,0.0022352641779547775,72.0,72.0,56.0
1,2,False,10,0,2,2,0.0,8,0.8,0.13111448367054007,0.18003402123559417,0.0019797149487552675,0.0025951003279500538,9.769339788751868e-05,0.00017925758177185023,0.0003127300659217546,72.0,72.0,56.0
1,2,True,10,0,3,3,0.0,7,0.7,0.6287744386429124,1.7713984167055181,0.009052396658726298,0.034163116459764345,0.008251200232624108,0.056395539790776494,0.007097910588007741,72.0,72.0,56.0
1,3,False,10,0,3,3,0.0,7,0.7,0.06010765441775814,0.06787832832976519,0.0013661684349756018,0.0015019891268625944,4.1893458978108565e-05,4.996634594491061e-05,0.0002527534958436756,72.0,72.0,56.0
1,3,True,10,0,3,3,0.0,7,0.7,0.34528757443485175,0.4191996396665688,0.007799137242200851,0.011234676374302829,0.002649197273042163,0.009936142200491471,0.003212781589275337,72.0,72.0,56.0
2,1,False,10,0,3,3,0.0,7,0.7,0.16130769380457968,0.24299560102616602,0.0037446121215245105,0.008965352081966957,0.00016934936386296258,0.000251186323279438,0.00019983228577461268,38.0,41.6,22.0
2,1,True,10,0,8,8,0.0,2,0.2,0.18954520006270248,0.22790041523879598,0.007503580895701786,0.007936509160744797,0.0002655282934375202,0.00037067015231048814,0.00034751608006477477,51.0,55.0,35.0
2,2,False,10,0,4,4,0.0,6,0.6,0.06352766328966898,0.334453951583574,0.002504294814974925,0.013223825958620284,3.3940744353982305e-05,0.00031540184544123534,4.4495747988164415e-05,38.0,46.5,22.0
2,2,True,10,0,6,6,0.0,4,0.4,0.09654874266648553,0.22926223931561518,0.00307527780513742,0.006479345957536109,4.5016812156616716e-05,0.0013631381611797122,6.50879909983511e-05,53.0,55.4,37.0
2,3,False,10,0,3,3,0.0,7,0.7,0.12071527701208942,1.4638942387125844,0.004044851001856233,0.039539556237525135,3.921778689698871e-05,0.0015259696840056254,5.7004107940547795e-05,40.0,44.6,24.0
2,3,True,10,0,3,3,0.0,7,0.7,0.11025643369647903,0.19563557742505855,0.003469975408354774,0.008099794461421258,4.791120123081644e-05,0.00021564321227244862,5.021653077807968e-05,48.0,53.6,32.0
3,1,False,10,0,2,2,0.0,8,0.8,0.06961335797658474,0.10988298161117346,0.003799650792158177,0.004614036384567336,3.5200692692111395e-05,8.323929631625137e-05,5.821333719568279e-05,34.5,46.3,18.5
3,1,True,10,0,4,4,0.0,6,0.6,0.08488416946368652,0.2760634652479006,0.003643273274686842,0.004956779947175059,6.989233712970634e-05,0.00027334906935042134,8.882297379178425e-05,59.0,60.0,43.0
3,2,False,10,0,3,3,0.0,7,0.7,0.0739378420040713,0.40806126637984874,0.004132227479970545,0.013240612354239388,4.258185574341195e-05,0.00026754049159531397,6.296773530145684e-05,40.0,46.0,24.0
3,2,True,10,0,6,6,0.0,4,0.4,0.08543641056697358,3.2334472363336744,0.0027821479839729413,0.08577317076996165,3.585639904586947e-05,0.0011570675779012784,4.7034282613960565e-05,53.5,57.7,37.5
3,3,False,10,0,8,8,0.0,2,0.2,0.0731918257074137,0.07712406350223217,0.0020841162362655267,0.0021697470415079525,1.4092712212611827e-05,1.654014649017019e-05,1.3337608296492792e-05,34.0,42.0,18.0
3,3,True,10,0,6,6,0.0,4,0.4,0.05214051328823711,0.05828682429536304,0.0020351516170111538,0.0028278359167504064,2.2548900754548466e-05,3.060483949901397e-05,2.7166359661276063e-05,55.0,56.0,39.0
